"Country","Age","Gender","Kids","Education","WorkStatus","Income","Job","ExpYears","ExpMonths","Community","Marital","Sons","Daughters","DPQues1","DPQues2","DPQues3","DPQues4","DPQues5","AIPQues1","AIPQues2","AIPQues3","AIPQues4","AIPQues5","AIPQues6","AIPQues7","AIPQues8","AIPQues9","AIPQues10","AIPQues11","AIPQues12","AIPQues13","AIPQues14","AIPQues15","GPQues1","GPQues2","GPQues3","GPQues4","GPQues5","GPQues6","GPQues7","GPQues8","GPQues9","GPQues10","GPQues11","GPQues12","GPQues13","GPQues14","GPQues15","GPQues16","GPQues17","GPQues18","GPQues19","GPQues20","SWLSQues1","SWLSQues2","SWLSQues3","SWLSQues4","SWLSQues5","SelfQuestion","OthQuestion","GPMean","AIPMean","SWLSMean","DPMean","HDI","Category","matching"
"NA",55,"Male","Yes","ma","retired",10000,"Retired",2,0,"Small Town","Widowed",2,1,4,4,4,2,5,1,1,1,5,5,5,5,1,5,1,2,3,4,2,5,5,1,5,5,1,2,5,2,4,1,5,1,1,5,5,2,1,3,5,3,1,1,1,1,3,"yes","no",3.1,3.1,1.4,3.8,NA,NA,0
"NA",45,"Female","No","ma","unemployed",0,"Na",0,0,"Small Town","Single",0,0,2,2,2,2,1,2,2,3,3,1,3,1,2,1,1,2,2,2,2,1,1,1,1,3,1,1,1,1,2,1,5,1,1,1,1,3,2,2,1,2,3,3,3,3,3,"no","no",1.6,1.9,3,1.8,NA,NA,1
"NA",37,"Male","No","ma","full-time",67500,"Director",3,0,"Large-City","Divorced",0,0,4,4,4,3,3,4,1,5,4,3,2,3,4,2,4,4,2,3,2,3,4,3,4,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,2,"yes","no",3.6,3.1,2.8,3.6,NA,NA,0
"Afghanistan",55,"Male","Yes","ma","full-time",150000,"Na",0,0,"Large Town","Married",4,2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes",3.7,3.9,2.4,3.6,0.479,"Low human development",1
"Afghanistan",80,"Female","No","grade","unemployed",10000,"Na",0,0,"Medium-Sized","Single",0,0,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,"yes","no",3.2,2.7,2.8,3,0.479,"Low human development",0
"Afghanistan",55,"Male","No","deg","full-time",87500,"Na",0,6,"Large Town","Married",0,0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no",3.2,2.7,2.4,3.2,0.479,"Low human development",0
"Afghanistan",55,"Female","Yes","deg","full-time",10000,"Na",7,0,"Village","Divorced",4,0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes",2.8,3.1,1.4,3.2,0.479,"Low human development",0
"Albania",45,"Female","No","ltuni","full-time",150000,"Na",0,0,"Large Town","Single",0,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3.9,2.1,3,3.4,0.764,"High human development",0
"Albania",67,"Male","Yes","deg","part-time",87500,"Media Consultant",4,0,"Large-City","Divorced",0,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,"yes","no",3,2.4,3.8,2.4,0.764,"High human development",0
"Algeria",55,"Female","Yes","dip","full-time",55000,"Analyst",28,0,"Large-City","Married",0,4,3,2,1,1,1,2,1,1,3,3,5,1,2,3,3,1,1,1,2,3,3,1,1,3,4,1,2,2,3,1,3,3,2,2,3,3,2,3,3,2,3,3,4,4,5,"yes","no",2.4,2.1,3.8,1.6,0.745,"High human development",0
"Algeria",45,"Male","Yes","ma","full-time",35000,"Na",10,0,"Village","Married",2,0,4,4,5,4,4,4,1,4,1,3,3,4,2,3,3,3,1,5,3,3,3,2,4,3,3,4,4,2,4,3,2,4,4,2,4,4,4,4,4,4,3,3,4,4,4,"yes","yes",3.4,2.9,3.6,4.2,0.745,"High human development",1
"Algeria",37,"Female","No","deg","full-time",67500,"Na",9,6,"Village","Married",0,0,4,4,5,5,4,1,2,5,4,2,3,3,3,1,3,5,3,2,3,3,4,2,4,3,4,5,2,5,3,1,5,3,1,3,4,5,4,3,2,5,5,5,5,3,3,"yes","no",3.4,2.9,4.2,4.4,0.745,"High human development",0
"Andorra",80,"Male","No","ma","retired",45000,"Retired",17,0,"Medium-Sized","Single",0,0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,"no","no",2,1.5,4,1.4,0.858,"Very high human development",1
"Andorra",55,"Male","Yes","ma","full-time",250000,"Finance",23,0,"Large-City","Married",0,5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,"no","no",2.5,2.4,3.6,2,0.858,"Very high human development",1
"Antigua",32,"Male","Yes","dip","full-time",25000,"Na",6,0,"Rural/Country","Divorced",2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,2,4,2,4,2,2,3,3,4,4,4,2,2,4,2,4,2,2,2,2,2,"yes","yes",3,3,2,3,NA,NA,1
"Argentina",45,"Male","Yes","deg","full-time",55000,"Na",7,0,"Village","Married",1,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3,3,3.6,3.4,0.827,"Very high human development",1
"Argentina",32,"Female","No","deg","full-time",67500,"Manager",3,0,"Large-City","Single",0,0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no",2.4,1.9,3.6,1.8,0.827,"Very high human development",0
"Argentina",67,"Male","Yes","","part-time",150000,"Business Consulta",12,0,"Small Town","Married",3,0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,"NA","no",2.6,2.7,3.4,3,0.827,"Very high human development",0
"Australia",55,"Male","Yes","ma","full-time",35000,"Na",3,5,"","Married",0,2,4,4,4,4,4,2,1,3,2,3,3,3,4,3,3,4,2,4,1,2,4,3,4,4,4,2,4,4,4,2,2,4,3,4,3,5,4,4,3,5,4,5,4,5,4,"yes","yes",3.6,2.7,4.4,4,0.939,"Very high human development",1
"Australia",55,"Female","Yes","ma","student",15000,"Student",2,2,"Medium-Sized","Married",0,2,3,2,2,1,1,1,1,3,3,2,1,1,3,1,2,3,3,2,1,1,2,1,2,2,2,2,1,2,2,2,3,2,2,3,3,2,2,4,1,2,4,3,5,5,3,"yes","no",2.1,1.9,4,1.8,0.939,"Very high human development",0
"Australia",37,"Male","No","high","full-time",150000,"Na",6,3,"Village","Single",0,0,2,3,2,2,2,1,1,2,2,3,2,1,1,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,3,2,2,2,2,2,3,3,3,1,"no","no",1.8,1.7,2.4,2.2,0.939,"Very high human development",1
"Australia",28,"Male","No","deg","student",15000,"Student",0,3,"Small Town","Married",0,0,3,3,3,2,2,2,3,4,3,4,5,5,4,3,3,3,3,3,3,3,3,1,2,5,3,3,3,3,4,3,3,3,3,3,4,2,2,3,3,4,3,4,4,3,3,"yes","yes",3,3.4,3.4,2.6,0.939,"Very high human development",1
"Australia",32,"Female","Yes","phd","student",45000,"Student",4,6,"Village","Married",0,1,3,3,5,5,5,3,1,3,2,5,4,3,5,4,5,3,3,3,1,4,4,3,1,2,3,1,5,5,5,1,3,5,3,3,5,1,1,5,4,5,3,2,2,3,2,"yes","no",3.2,3.3,2.4,4.2,0.939,"Very high human development",0
"Australia",20,"Female","No","ltuni","student",10000,"Student",2,0,"Village","Single",0,0,1,3,2,2,2,2,2,1,3,1,1,1,4,1,2,2,2,5,2,5,3,1,2,5,5,2,5,2,5,1,3,5,2,2,2,5,5,5,3,4,5,4,5,5,5,"yes","no",3.4,2.3,4.8,2,0.939,"Very high human development",0
"Australia",45,"Male","Yes","deg","full-time",67500,"Physiotherapst",13,0,"Large-City","Married",1,3,4,3,2,3,3,1,3,3,3,4,4,4,4,4,5,3,3,2,3,3,5,3,4,4,3,3,4,4,4,4,4,5,2,3,4,5,2,4,4,5,3,4,3,5,3,"yes","yes",3.8,3.3,3.6,3,0.939,"Very high human development",1
"Australia",23,"Male","No","deg","student",10000,"Student",0,0,"Small Town","Single",0,0,3,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,2,5,1,1,1,2,5,4,4,2,1,2,3,4,3,3,4,4,2,2,2,2,1,"yes","yes",2.9,3.7,1.8,3.8,0.939,"Very high human development",1
"Australia",37,"Male","Yes","deg","full-time",55000,"Writer",7,6,"Large-City","Married",1,1,3,2,3,1,1,1,1,2,2,3,3,3,3,2,3,2,2,1,2,2,3,1,1,2,1,2,3,3,3,1,1,4,1,2,3,2,2,3,2,3,2,2,2,4,2,"yes","yes",2.1,2.1,2.4,2,0.939,"Very high human development",1
"Australia",37,"Male","Yes","deg","full-time",150000,"Engineer",9,0,"Large-City","Married",1,1,5,5,5,5,5,2,2,3,2,5,3,5,5,5,5,2,2,3,2,4,5,2,2,3,3,4,4,4,5,2,2,5,3,2,5,3,3,5,5,4,2,2,2,2,2,"yes","yes",3.5,3.3,2,5,0.939,"Very high human development",1
"Australia",45,"Female","No","phd","full-time",150000,"Manager",1,0,"Large-City","Married",0,0,3,2,4,3,3,1,1,4,5,3,1,2,3,1,5,2,3,2,2,3,3,2,3,1,1,3,3,3,2,3,3,3,1,3,3,4,2,5,3,3,3,5,2,3,3,"yes","no",2.7,2.5,3.2,3,0.939,"Very high human development",0
"Australia",28,"Male","No","deg","full-time",67500,"Analyst",1,6,"Large-City","Single",0,0,4,4,4,4,4,1,1,2,3,5,5,4,4,5,5,3,3,2,2,3,5,4,4,4,4,3,4,4,3,2,4,4,2,4,4,4,4,4,4,4,2,3,2,2,2,"yes","yes",3.8,3.2,2.2,4,0.939,"Very high human development",1
"Australia",32,"Female","No","ma","full-time",45000,"Office Manager",6,0,"Large-City","Single",0,0,2,2,3,1,1,1,1,3,3,1,1,1,2,2,2,3,1,2,1,1,1,1,1,3,1,2,2,2,2,1,4,2,3,3,2,2,2,3,2,3,3,2,3,4,2,"no","no",2.1,1.7,2.8,1.8,0.939,"Very high human development",1
"Australia",22,"Female","No","deg","full-time",25000,"Administration",0,5,"Large-City","Single",0,0,4,4,4,3,3,1,2,4,5,4,3,5,3,4,5,2,3,3,1,5,3,1,3,4,1,2,5,3,4,4,4,4,1,2,3,3,2,4,3,3,3,3,2,2,1,"yes","yes",3,3.3,2.2,3.6,0.939,"Very high human development",1
"Australia",28,"Female","No","deg","part-time",67500,"Analyst",2,0,"Large Town","Single",0,0,1,4,2,2,2,5,3,1,5,4,5,5,4,4,2,4,2,5,5,5,1,5,3,4,5,3,5,3,4,3,3,4,5,5,4,5,5,4,4,4,4,5,4,3,3,"yes","yes",4,3.9,3.8,2.2,0.939,"Very high human development",1
"Australia",37,"Male","No","deg","student",10000,"Student",2,0,"Large-City","Single",0,0,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,4,5,5,5,5,1,5,1,1,1,1,"yes","yes",4,4.7,1.8,5,0.939,"Very high human development",1
"Australia",45,"Male","Yes","deg","full-time",87500,"Information Technology",13,0,"Small City","Married",1,2,3,3,4,3,3,2,3,5,4,3,4,4,4,3,4,4,5,5,4,3,4,1,3,5,2,2,3,4,4,4,2,3,4,4,3,4,2,4,3,4,4,4,4,4,3,"yes","yes",3.2,3.8,3.8,3.2,0.939,"Very high human development",1
"Australia",24,"Female","Yes","high","part-time",25000,"Customer Service",6,2,"Large-City","Single",1,0,3,3,5,2,2,1,1,1,4,4,1,2,3,3,5,4,3,5,3,2,5,1,2,5,3,4,5,4,4,5,5,3,1,4,3,2,2,4,5,5,4,4,4,4,5,"yes","yes",3.6,2.8,4.2,3,0.939,"Very high human development",1
"Australia",32,"Male","Yes","phd","full-time",67500,"Information Technology",3,0,"Large-City","Married",1,1,5,3,4,4,5,4,2,3,3,4,1,3,3,4,5,3,2,3,1,5,4,3,2,2,2,2,4,2,4,2,4,5,3,4,5,4,4,5,4,4,3,3,2,4,5,"yes","no",3.5,3.1,3.4,4.2,0.939,"Very high human development",0
"Australia",45,"Female","Yes","ltuni","NA",0,"Na",0,0,"Small City","Married",2,1,5,4,3,3,3,1,1,4,3,3,1,3,2,3,3,3,2,4,2,1,3,1,4,2,4,3,3,4,4,4,4,2,2,4,4,4,4,3,1,4,4,4,3,3,2,"no","yes",3.2,2.4,3.2,3.6,0.939,"Very high human development",0
"Australia",45,"Male","Yes","deg","full-time",150000,"Engineer",10,0,"Large-City","Divorced",1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,4,2,3,4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,3,2,"yes","yes",3.6,3.6,2.8,4,0.939,"Very high human development",1
"Australia",37,"Female","No","deg","student",15000,"Student",2,0,"Medium-Sized","Single",0,0,3,4,3,3,3,1,1,3,2,3,1,3,3,2,3,3,3,4,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,3,4,3,2,3,3,3,4,3,4,5,3,"yes","yes",3,2.5,3.8,3.2,0.939,"Very high human development",1
"Australia",45,"Male","No","ltuni","full-time",67500,"Internet & Media Consultant",8,0,"Large-City","Married",0,0,3,3,2,3,3,1,1,4,2,2,1,2,3,2,4,1,1,2,1,3,3,2,3,2,1,3,3,3,3,2,2,3,2,3,3,5,5,3,3,2,2,3,3,1,4,"no","no",2.8,2,2.6,2.8,0.939,"Very high human development",1
