"Country","Number of Participants"
"Afghanistan",4
"Albania",2
"Algeria",3
"Andorra",2
"Antigua",1
"Argentina",3
"Australia",99
"Austria",3
"Bahamas",1
"Barbados",1
"Belgium",9
"Bermuda",2
"Bolivia",1
"Botswana",1
"Brazil",20
"Brunei",1
"Bulgaria",2
"Canada",243
"Chile",4
"China",12
"Colombia",2
"Croatia",4
"Cyprus",1
"Czech Republic",3
"Denmark",9
"Dominican Republic",1
"Ecuador",3
"Egypt",1
"El Salvador",1
"Finland",12
"France",13
"Germany",36
"Ghana",2
"Greece",10
"Guam",1
"Guyana",1
"Hong Kong",7
"Hungary",1
"Iceland",1
"India",78
"Iran",2
"Ireland",19
"Isreal",19
"Italy",62
"Jamaica",1
"Japan",13
"Kazakhstan",1
"Kenya",1
"Lithuania",1
"Luxembourg",1
"Macao",1
"Macedonia",1
"Malaysia",4
"Malta",2
"Mexico",12
"Morocco",1
"Myanmar",1
"NA",160
"Netherlands",18
"New Zealand",12
"Nicaragua",1
"Norway",14
"Pakistan",1
"Panama",1
"Peru",2
"Philippines",11
"Poland",5
"Portugal",7
"Puerto Rico",3
"Qatar",1
"Romania",5
"Russia",1
"Saudi Arabia",2
"Singapore",4
"Slovenia",6
"South Africa",12
"South Korea",2
"Spain",13
"Sri Lanka",1
"Sweden",15
"Switzerland",12
"Taiwan",1
"Thailand",2
"Turkey",9
"Ukraine",2
"United Kingdom",177
"United States",2785
"Uruguay",3
"Venezuela",2
"Vietnam",1
"Yugoslavia",2
